name,version,ecosystem,vendor
python3-pyyaml,3.12,PyPI,
python3-reportlab,3.4.0,PyPI,
python3-requests,2.20.0,PyPI,
python3-rosdep,0.19.0,PyPI,
python3-rosdistro,0.8.3,PyPI,
python3-rospkg,1.2.8,PyPI,
python3-rpm,4.14.3,,
python3-s3transfer,0.3.4,PyPI,
python3-setuptools,39.2.0,PyPI,
python3-setuptools-wheel,39.2.0,PyPI,
python3-six,1.11.0,PyPI,
python3-uritemplate,3.0.0,PyPI,
python3-urlgrabber,4.1.0,,
python3-urllib3,1.24.2,PyPI,
python3-vcstool,0.2.15,,
python3-vcstools,0.1.42,PyPI,
python36,3.6.8,,
quota,4.04,,
quota-nls,4.04,,
rcs,5.10.0,,
rdma-core,29,,
readline,7,,
redis,6.2.6,,
rootfiles,8.1,,
rpcbind,1.2.5,,
rpm,4.14.3,,
rpm-build-libs,4.14.3,,
rpm-libs,4.14.3,,
rpm-plugin-selinux,4.14.3,,
rsa,4.8,,
samba-client-libs,4.14.5,,
samba-common,4.14.5,,
samba-common-libs,4.14.5,,
sbsigntools,0.9.2,,
scrub,2.5.2,,
sed,4.5,,
selinux-policy,3.14.3,,
selinux-policy-targeted,3.14.3,,
setup,2.12.2,,
shadow-utils,4.6,,
shim-x64,15,,
smartmontools,7.1,,
snappy,1.1.8,,
sqlite,3.26.0,,
sqlite-libs,3.26.0,,
sscep,0.9.0,,
sshpass,1.06,,
sysfsutils,2.1.0,,
syslinux,6.04,,
syslog-ng,3.29.1,,
sysstat,11.7.3,,
tacacs,1,,
tar,1.3,,
tcp_wrappers,7.6,,
tcp_wrappers-libs,7.6,,
tcpdump,4.9.3,,
td-agent-bit,1.8.110,,
tecla,1.6.3,,
telnet,0.17,,
telnet-server,0.17,,
tftp,5.2,,
tftp-server,5.2,,
timedatex,0.5,,
tpm2-tss,2.3.2,,
traceroute,2.1.0,,
udev,127,,
ustr,1.0.4,,
util-linux,2.32.1,,
util-linux-dp,2.32.1,,
util-linux-user,2.32.1,,
vconfig,1.9,,
vectorscan,5.4.6,,
vim-minimal,8.0.1763,,
virt-what,1.18,,
vixie-cron,4.1,,
waofflinevmod,4.3.3.501,,
wget,1.19.5,,
which,2.21,,
wmi,1.3.13,,
wpaeapol,2.9,,
xdelta,3.1.0,,
xe-guest-utilities-latest,7.21.0,,
xinetd,2.3.15,,
xmlsec1,1.2.25,,
xmlsec1-openssl,1.2.25,Debian,
xmltodict,0.12.0,,
xmltooling-schemas,3.2.0,,
xz,5.2.4,,
xz-libs,5.2.4,,
zlib,1.2.11,Debian,
busybox-dp,11.1.8.1,,
cpp,7.3.0,,
dpdk,20.11.2,,
dpdk_7500_800g,20.11.1,,
dpdk_7500_dpc,20.11.1,,
dracut-network,49,,
dracut-squash,49,,
frr,8.0_dpd,,
grub-cfg,11.1.8.1,,
kexec-tools,2.0.20,,
libyang2,2.0.7,,
make,4.2.1,,
modules-intel-mp,11.1.8.1,,
modules-intel-mp-vm,11.1.8.1,,
nss_nis,3,,
rsync,3.1.3,,
squashfs-tools,4.3,,
busybox-dp,11.0.6.1,,
dpdk-vm,20.11.8,,
envoy-proxy,v1,,
etcd,3.2.21,,
glibc-debuginfo,2.28,Debian,
glibc-debuginfo-common,2.28,Debian,
grub-cfg,11.0.6.1,,
insydeh2offt_x86_linux64,200.01.00.05,,
mcelog,144,,
modules-intel-mp,11.0.6.1,,
modules-intel-mp-vm,11.0.6.1,,
ms2frr,11.1.134,,
nginx-bin,1.18.0,,
nginx-filesystem,1.18.0,,
open-vm-tools,10.3.10,,
p11-kit,0.23.14,,
p11-kit-trust,0.23.14,,
busybox-dp,10.2.14.1,,
cyrus-sasl-lib,2.1.27,,
dpdk-vm,21.11.1,,
gnutls,3.6.14,,
grub-cfg,10.2.14.1,,
kernel-octeon3-mp,3.10.87,,
libldb,2.1.3,,
libsmbclient,4.12.3,,
libtalloc,2.3.1,,
libwbclient,4.12.3,,
modules-intel-mp,10.2.14.1,,
modules-intel-mp-vm,10.2.14.1,,
ms2frr,10.2.821,,
python3-cryptography,2.3,,
redis,5.0.3,,
samba-client-libs,4.12.3,,
samba-common,4.12.3,,
samba-common-libs,4.12.3,,
attr-lib,2.4.47,,
audit-libs,2.4.1,,
basesystem,10.0.8,,
bash,4.2.46,,
bind-libs,9.9.4,,
bind-libs-lite,9.9.4,,
bind-license,9.9.4,,
bind-utils,9.9.4,,
bonnie++,1.03d,,
botocore,1.4.42,PyPI,
c-ares,1.10.0,,
centos-release,7,,
chkconfig,1.3.61,,
cpp,4.8.5,,
cracklib,2.9.0,,
cracklib-dicts,2.9.0,,
curl,7.60.0,Debian,
cyrus-sasl-lib,2.1.26,,
dejavu-fonts-common,2.33,,
dejavu-sans-fonts,2.33,,
device-mapper,1.02.107,,
device-mapper-libs,1.02.107,,
dhclient,4.2.5,,
dhcp-common,4.2.5,,
dhcp-libs,4.2.5,,
diskscrub,2.5.2,,
dmidecode,2.12,,
e2fsprogs,1.42.9,,
e2fsprogs-libs,1.42.9,,
elfutils,0.176,,
enum,0.4.6,,
envoy-proxy,1.el7,,
etcd,3.2.22,,
ethtool,4.5,,
file,5.11,,
file-libs,5.11,,
filesystem,3.2,,
findutils,4.5.11,,
fipscheck,1.4.1,,
fipscheck-lib,1.4.1,,
flatcc,1,,
fontconfig,2.10.95,,
fping,4.0.5,,
frr,6.1_dpd,,
fuse-libs,2.8.5,,
glibc,2.17,Debian,
glibc-debuginfo,2.17,Debian,
google-auth,0.8.0,,
google-auth-httplib2,0.0.2,,
google-cloud-core,0.23.0,,
google-cloud-error_reporting,1.5.2,,
google-cloud-monitoring,0.24.0,,
google-cloud-storage,0.23.1,,
google-perftools,2.4,,
google-snappy,1.1.0,,
gperftools,2.4,,
grpc,1.30.0,Go,
gzip,1.5,,
hiredis,0.13.3,,
httpd,2.4.6,,
httpd-tools,2.4.6,,
httplib2,0.9.2,,
hwdata,0.252,,
hyperscan5,4.2.0,,
initscripts,8.45.15,,
iproute2,3.10.0,,
iputils,20121221,,
jmespath,0.9.0,PyPI,
json-c,0.11,,
keyutils,1.5.8,,
keyutils-libs,1.5.8,,
krb5-libs,1.13.1,,
krb5-workstation,1.13.1,,
libacl,2.2.51,,
libampq,1.0.0,,
libassuan,2.1.0,,
libattr,2.4.6,,
libblkid,2.23.2,,
libcap-dev,2.22,,
libcap-ng,0.7.5,,
libcjson,0.0.1,,
libcom_err,1.42.9,,
libcurl,7.60.0,,
libdb,5.3.21,,
libdb-utils,5.3.21,,
libevent,2.0.21,,
libexpat,2.1.0,,
libffi,3.2.1,,
libgcc,4.8.5,,
libgcrypt,1.5.3,,
libgpg-error,1.12,,
libgssglue,0.1,,
libibverbs,23.1,,
libjpeg-turbo,1.2.90,,
liblockdev1,1.0.4,,
liblog4shib,1.0.9,,
libmount,2.23.2,,
libmpc,1.0.1,,
libnet-dev,1.1.6,,
libnfsidmap,0.25,,
libnfsidmap-dev,0.25,,
libpcap,1.5.3,,
libpng,1.5.13,,
libpwquality,1.2.3,,
libsaml8,2.5.5,,
libselinux,2.2.2,,
libsemanage,2.1.10,,
libsepol,2.1.9,,
libsmbclient,3.0.33,,
libss,1.42.9,,
libstdc++,4.8.5,,
libtirpc,0.2.4,,
libunwind,1.1,,
libuser,0.6,,
libuuid,2.23.2,,
libxml2-python,2.9.4,,
libxml-security-c17,1.7.3,,
libxmltooling,1.6.4,,
libxslt,1.1.28,,
libyang,0.16.46,,
linux-firmware,20180911,,
lm_sensors,3.3.4,,
lm_sensors-libs,3.3.4,,
logrotate,3.8.6,,
lsvpd,2.1.0,,
mcrypt,2.5.8,,
module-init-tools,3.3,,
mpfr-dev,3.1.1,,
myproxy-libs,2.1.26,,
ncurses,5.9,,
ncurses-base,5.9,,
ncurses-libs,5.9,,
ncurses-term,5.9,,
nspr,4.25.0,,
nss-softokn,3.53.1,,
nss-softokn-freebl,3.53.1,,
nss-tools,3.53.1,,
nss-utils,3.53.1,,
numactl,2.0.9,,
openldap-clients,2.4.40,,
openssh-clients,7.7p1,,
openssh-server,7.7p1,,
openssl-dpt13,1.0.1e,Debian,
openwsman,2.6.0,,
pam_ldap,1.8.4,,
parted,3.1,,
passwd,0.79,,
pciutils,3.2.1,,
pciutils-libs,3.2.1,,
pexpect,2.3,PyPI,
php-common,5.6.25,,
